filename, language, C++, Python, comment, blank, total
/Users/vector_cat/gits/bcClean/src/CellularGraph.cpp, C++, 268, 0, 24, 28, 320
/Users/vector_cat/gits/bcClean/src/CellularGraph.h, C++, 52, 0, 0, 5, 57
/Users/vector_cat/gits/bcClean/src/Edge_Dijkstra.cpp, C++, 141, 0, 5, 2, 148
/Users/vector_cat/gits/bcClean/src/Edge_Dijkstra.h, C++, 37, 0, 0, 3, 40
/Users/vector_cat/gits/bcClean/src/Kruskal.cpp, C++, 268, 0, 18, 19, 305
/Users/vector_cat/gits/bcClean/src/Kruskal.h, C++, 47, 0, 4, 15, 66
/Users/vector_cat/gits/bcClean/src/MatchMakerDynamic.cpp, C++, 393, 0, 40, 66, 499
/Users/vector_cat/gits/bcClean/src/MatchMakerDynamic.h, C++, 24, 0, 1, 2, 27
/Users/vector_cat/gits/bcClean/src/Match_Maker_Tree.cpp, C++, 535, 0, 53, 65, 653
/Users/vector_cat/gits/bcClean/src/Match_Maker_Tree.h, C++, 50, 0, 0, 7, 57
/Users/vector_cat/gits/bcClean/src/TraceComplex.cpp, C++, 326, 0, 102, 66, 494
/Users/vector_cat/gits/bcClean/src/TraceComplex.h, C++, 32, 0, 0, 1, 33
/Users/vector_cat/gits/bcClean/src/backtrack_diff.cpp, C++, 74, 0, 6, 1, 81
/Users/vector_cat/gits/bcClean/src/backtrack_diff.h, C++, 30, 0, 0, 1, 31
/Users/vector_cat/gits/bcClean/src/bcclean.cpp, C++, 311, 0, 8, 22, 341
/Users/vector_cat/gits/bcClean/src/bcclean.h, C++, 79, 0, 4, 18, 101
/Users/vector_cat/gits/bcClean/src/edge.cpp, C++, 406, 0, 46, 20, 472
/Users/vector_cat/gits/bcClean/src/edge.h, C++, 37, 0, 0, 4, 41
/Users/vector_cat/gits/bcClean/src/fTetwild.cpp, C++, 310, 0, 108, 90, 508
/Users/vector_cat/gits/bcClean/src/fTetwild.h, C++, 9, 0, 0, 2, 11
/Users/vector_cat/gits/bcClean/src/flann_test.cpp, C++, 20, 0, 5, 7, 32
/Users/vector_cat/gits/bcClean/src/ftet_gen.cpp, C++, 126, 0, 0, 4, 130
/Users/vector_cat/gits/bcClean/src/graphcut_cgal.h, C++, 213, 0, 52, 32, 297
/Users/vector_cat/gits/bcClean/src/kdtree_NN_Eigen.hpp, C++, 27, 0, 4, 9, 40
/Users/vector_cat/gits/bcClean/src/loop_colorize.cpp, C++, 54, 0, 11, 2, 67
/Users/vector_cat/gits/bcClean/src/loop_colorize.h, C++, 19, 0, 0, 1, 20
/Users/vector_cat/gits/bcClean/src/main.cpp, C++, 277, 0, 23, 24, 324
/Users/vector_cat/gits/bcClean/src/node.cpp, C++, 58, 0, 0, 1, 59
/Users/vector_cat/gits/bcClean/src/node.h, C++, 18, 0, 0, 0, 18
/Users/vector_cat/gits/bcClean/src/non_vertex_manifold_relabel.cpp, C++, 147, 0, 1, 3, 151
/Users/vector_cat/gits/bcClean/src/non_vertex_manifold_relabel.h, C++, 21, 0, 0, 0, 21
/Users/vector_cat/gits/bcClean/src/orientation_check.cpp, C++, 74, 0, 0, 1, 75
/Users/vector_cat/gits/bcClean/src/orientation_check.h, C++, 16, 0, 0, 3, 19
/Users/vector_cat/gits/bcClean/src/params.h, C++, 33, 0, 0, 0, 33
/Users/vector_cat/gits/bcClean/src/patch.cpp, C++, 69, 0, 104, 9, 182
/Users/vector_cat/gits/bcClean/src/patch.h, C++, 32, 0, 4, 1, 37
/Users/vector_cat/gits/bcClean/src/patch_cut_relabel.cpp, C++, 145, 0, 22, 6, 173
/Users/vector_cat/gits/bcClean/src/patch_cut_relabel.h, C++, 14, 0, 0, 0, 14
/Users/vector_cat/gits/bcClean/src/planar_cut_simply_connect.cpp, C++, 532, 0, 126, 92, 750
/Users/vector_cat/gits/bcClean/src/planar_cut_simply_connect.h, C++, 30, 0, 0, 3, 33
/Users/vector_cat/gits/bcClean/src/polyline_distance.cpp, C++, 154, 0, 3, 6, 163
/Users/vector_cat/gits/bcClean/src/polyline_distance.h, C++, 27, 0, 0, 3, 30
/Users/vector_cat/gits/bcClean/src/proj_node.cpp, C++, 679, 0, 73, 52, 804
/Users/vector_cat/gits/bcClean/src/proj_node.h, C++, 58, 0, 6, 6, 70
/Users/vector_cat/gits/bcClean/src/recursive_cut.cpp, C++, 110, 0, 21, 6, 137
/Users/vector_cat/gits/bcClean/src/recursive_cut.h, C++, 17, 0, 0, 0, 17
/Users/vector_cat/gits/bcClean/src/utlis.py, Python, 0, 78, 1, 7, 86
Total, -, 6399, 78, 875, 715, 8067
